directorio_hog,ingreso,gasto
19919001,3573333.33333333,3747324.61111111
19919101,3418266.66666667,8936300
19919201,535600,1910158.33333333
19919301,1613000,3578226.11111111
19919401,915000,2057724.16666667
19920601,1356000,1821890.33333333
19920701,400000,892333.333333333
19920801,70000,767800
19921001,1632500,1933983.33333333
19921101,1681500,2215798.08333333
19921201,1921500,1677316.66666667
19921301,550000,3751500
19921401,2287833.33333333,1187645.66666667
19921501,2031333.33333333,1958015.75
19921601,536000,1162503.33333333
19921701,535000,616408.833333333
19921801,150000,955500
19921901,745833.333333333,972166.666666667
19922001,553750,880065.666666667
19922101,2145000,2715933.33333333
19922201,4405000,3511427.83333333
19922301,1298000,1809484.41666667
19922401,1677666.66666667,1430066.66666667
19923001,2500000,2862311.83333333
19923501,1208333.33333333,2075874
19923901,3000000,3589000
19924301,1900000,4628833.33333333
19924801,11800000,11135240
19924901,4116666.66666667,5355938.33333333
19926701,2407000,3874208.33333333
19926801,2400000,7182698.83333333
19927301,2200000,1681292.11111111
19927401,14190666.6666667,4449944.52777778
19927501,419998,896869.416666667
19927901,4913666.66666667,6158472.52777778
19928001,950000,1752482.16666667
19928101,1506666.66666667,3212240.45833333
19928201,950000,1212195.86111111
19928301,1200000,1159000
19928401,1616666.66666667,2063133.33333333
19928501,NA,1117333.33333333
19928601,1163333.33333333,424500
19929801,3183333.33333333,1895233.33333333
19930101,1600000,4030968.5
19930201,4481666.66666667,4654487.52777778
19930301,1720000,2396349.66666667
19930401,8800000,4074142.5
19930501,3066666.66666667,2433687.66666667
19930601,300000,1091250
19930701,4942916.66666667,3832258.08333333
19930801,1000000,1358500
19930802,2047500,1518175
19930901,5855833.33333333,3349623.83333333
19931001,2807666.66666667,2839568.58333333
19931201,NA,1765060
19931301,933333.333333333,1371610
19931401,6641666.66666667,6302544.66666667
19931501,3892333.33333333,4182672.16666667
19931701,4966666.66666667,1859372.33333333
19931901,2800000,2263234
19932001,5500000,7994257.16666667
19932101,800000,2148920.83333333
19932201,1533333.33333333,1791649.5
19932301,2096500,1745333.33333333
19932401,2603666.66666667,1855578.83333333
19932501,750000,1209500
19932601,3114883.33333333,2939221.33333333
19932701,4060000,3681525.83333333
19932801,4055000,4798551.41666667
19932901,3150000,3886433.33333333
19933001,2073000,2075973.33333333
19933101,7200000,7639450
19933201,1155000,1871068.41666667
19933301,NA,471166.666666667
19933401,NA,380790.861111111
19933501,1056133.33333333,1056840
19933601,2200000,5794250
19934101,1350000,2207004.44444444
19934201,725000,2723400
19934202,1556666.66666667,2350600
19934301,516666.666666667,1724200.66666667
19934401,700000,1278161
19934501,766250,1510211.75
19934701,901200,2288299.08333333
19934801,12000000,9343408.83333333
19934901,1766666.66666667,2564656
19935001,6116666.66666667,5600932.66666667
19935101,2591666.66666667,4008074.11111111
19935301,4633333.33333333,5065712.83333333
19935401,NA,1882235.16666667
19935501,13697500,6231874.5
19935601,4958333.33333333,5914983.5
19935701,1498000,1395951.33333333
19935801,230000,1399333.33333333
19936201,280000,814292
19936301,NA,3611083.33333333
19936401,100000,194000
19936501,1315000,992902.583333333
19936701,730000,1524583.83333333
19937001,1043333.33333333,3186916.66666667
19937201,3215000,3044841.66666667
19937301,3113500,2879083.33333333
19937302,2077666.66666667,2052633.33333333
19937303,2065166.66666667,1249360
19937401,2075000,1131316.08333333
19937501,2509000,2241679.11111111
19937601,2032416.66666667,2168196.77777778
19937701,1000000,2832196.69444444
19937801,1650000,1881654.61111111
19937901,847083.333333333,1544033.33333333
19938101,2490000,3042150
19938201,933308.333333333,647383.333333333
19938301,5357166.66666667,3008356.25
19938401,NA,662833.333333333
19939401,27502499.75,30690666.6666667
19942101,700000,1239368.66666667
19942901,1807500,1350333.33333333
19943101,2253333.33333333,2075600
19943201,3009999,2075466.66666667
19943301,875000,969743.333333333
19943401,1300000,775130.25
19943501,3341666.66666667,1908833.33333333
19943601,1225666.66666667,1737073.33333333
19943701,NA,895766.666666667
19943801,1487000,947792
19943901,1220000,949666.666666667
19944401,1235600,1016444.83333333
19944501,1050000,1133333.33333333
19944801,800000,1179400
19945101,1600000,1743109
19945401,2768000,2926703.91666667
19945801,1500000,2533250
19945802,400000,960001.833333333
19945901,2575000,2531196.91666667
19946001,2312066.66666667,2004583.33333333
19946101,2535833.33333333,3001254.16666667
19946201,3125000,9815529.41666667
20000001,640000,957483.333333333
20000101,3450000,10785930
20000102,900000,981250
20000201,1666666.66666667,1823491
20000301,320000,842483.083333333
20000401,2761083.33333333,2830457
20000501,1260000,1518500
20000601,2989666.66666667,2638866.66666667
20000701,508333.333333333,833054.083333333
20000801,2647500,2947090.25
20000901,1269000,988463.333333333
20001001,862500,1280700
20001101,766666.666666667,1538583.33333333
20001201,1200000,1834300
20001301,1676000,2533916.66666667
20001401,200000,1259853.16666667
20001501,1772000,3021833.33333333
20001601,800000,738500
20001701,968616.666666667,1283916.66666667
20001801,950000,680000
20001901,1035000,1547891.66666667
20002001,590833.333333333,354975
20002101,300000,363583.333333333
20002201,690000,1100550
20002301,700000,594996.666666667
20002401,750000,764000
20002501,750000,1464569.91666667
20002601,1271166.66666667,613741.666666667
20002701,1450000,1608734.33333333
20002801,380000,2036353.20833333
20002901,1300500,3102666.66666667
20003001,1335000,3314862.70833333
20013301,790266.666666667,972616.666666667
20013401,302083.333333333,484914.916666667
20013601,1100000,773500
20013701,1150000,1693822.66666667
20013801,1325000,1334492.16666667
20013901,1050000,1489128.25
20014001,2099333.33333333,1374059.33333333
20014101,1314666.66666667,1008430.33333333
20014201,1808243,1783693.16
20014501,1070500,1060496.66666667
20014601,605000,803541.666666667
20014801,3322666.66666667,2022641.91666667
20015001,700000,1029666.66666667
20015201,1250000,844745
20015301,NA,1153041.58333333
20015401,518333.333333333,1567332.33333333
20015501,2230833.33333333,5568999.83333333
20015601,5025000,4140703.66666667
20015701,NA,2723429.33333333
20015801,133333,2334288.16666667
20015901,700000,1201309.44444444
20016001,2525000,3264496.5
20016101,4837000,4167129.44444444
20016201,2754165.66666667,2891152.66666667
20016301,1283333.33333333,3596440
20016401,8350000,5900190.83333333
20016501,12822108.0833333,6770240
